"By the number of household members","By the item of monthly income & expenditure of household","PERIOD","All households","Salary & wage earners' households","Other households",
"5 persons or more","08.Communication","2008.2/4","166790.164","160389.112","178127.054",
"5 persons or more","08.Communication","2008.3/4","168403.674","161527.565","180604.634",
"5 persons or more","08.Communication","2008.4/4","169434.331","162325.31","182519.926",
"5 persons or more","08.Communication","2009.1/4","164943.5","160228.233","173633.544",
"5 persons or more","08.Communication","2009.2/4","169724.596","166859.383","174495.089",
"5 persons or more","08.Communication","2009.3/4","170308.702","169933.474","170967.406",
"5 persons or more","08.Communication","2009.4/4","172346.93","168160.563","180084.974",
"5 persons or more","08.Communication","2010.1/4","175671.866","173574.033","179817.548",
"5 persons or more","08.Communication","2010.2/4","181818.653","173220.711","197180.545",
"5 persons or more","08.Communication","2010.3/4","178013.049","169296.764","193276.83",
"5 persons or more","08.Communication","2010.4/4","179421.67","171151.385","195259.209",
"5 persons or more","08.Communication","2011.1/4","179071.846","171708.053","191650.669",
"5 persons or more","08.Communication","2011.2/4","180023.276","172014.134","193289.761",
"5 persons or more","08.Communication","2011.3/4","187366.507","179558.112","200564.105",
"5 persons or more","08.Communication","2011.4/4","191989.267","185208.305","203866.926",
"5 persons or more","08.Communication","2012.1/4","190733.924","187955.41","195448.088",
"5 persons or more","08.Communication","2012.2/4","202560.678","195368.748","214909.915",
"5 persons or more","08.Communication","2012.3/4","215504.81","214720.006","216889.909",
"5 persons or more","08.Communication","2012.4/4","198935.085","198622.072","199519.296",
"5 persons or more","08.Communication","2013.1/4","199968.138","197377.33","204775.499",
"5 persons or more","08.Communication","2013.2/4","206186.338","200575.634","216428.837",
"5 persons or more","08.Communication","2013.3/4","208743.846","203835.651","218540.45",
"5 persons or more","08.Communication","2013.4/4","209122.674","204670.25","218131.83",
"5 persons or more","08.Communication","2014.1/4","220481.437","216827.005","227686.326",
"5 persons or more","08.Communication","2014.2/4","196755.797","194141.817","202025.416",
"5 persons or more","08.Communication","2014.3/4","217047.013","217014.586","217115.664",
"5 persons or more","08.Communication","2014.4/4","200281.87","202456.723","195322.084",
"5 persons or more","08.Communication","2015.1/4","206369.336","203559.765","212713.179",
"5 persons or more","08.Communication","2015.2/4","211487.544","200542.25","232933.062",
"5 persons or more","08.Communication","2015.3/4","217151.972","215650.03","219904.488",
"5 persons or more","08.Communication","2015.4/4","226722.568","216734.586","245344.976",
"5 persons or more","08.Communication","2016.1/4","211436.034","212688.957","209111.69",
"5 persons or more","08.Communication","2016.2/4","198844.202","194075.718","209885.818",
"5 persons or more","08.Communication","2016.3/4","209059.197","203471.945","219953.435",
"5 persons or more","08.Communication","2016.4/4","200806.215","197200.552","208465.408",
"5 persons or more","09.Entertainment and culture","2006.1/4","132305.235","139633.601","122174.263",
"5 persons or more","09.Entertainment and culture","2006.2/4","125065.848","125513.778","124407.146",
"5 persons or more","09.Entertainment and culture","2006.3/4","126374.195","129610.398","121108.027",
"5 persons or more","09.Entertainment and culture","2006.4/4","117878.613","125786.498","106130.853",
"5 persons or more","09.Entertainment and culture","2007.1/4","141147.293","142460.577","139204.446",
"5 persons or more","09.Entertainment and culture","2007.2/4","140740.559","134510.263","150730.208",
"5 persons or more","09.Entertainment and culture","2007.3/4","135740.407","140432.996","126402.978",
"5 persons or more","09.Entertainment and culture","2007.4/4","124825.539","127443.318","119599.631",
"5 persons or more","09.Entertainment and culture","2008.1/4","137548.799","144352.816","124751.187",
"5 persons or more","09.Entertainment and culture","2008.2/4","130559.291","137486.525","118290.481",
"5 persons or more","09.Entertainment and culture","2008.3/4","133452.694","149642.535","104725.458",
"5 persons or more","09.Entertainment and culture","2008.4/4","115947.941","125149.331","99010.918",
"5 persons or more","09.Entertainment and culture","2009.1/4","138078.895","147448.977","120810.218",
"5 persons or more","09.Entertainment and culture","2009.2/4","118983.036","128355.906","103377.492",
"5 persons or more","09.Entertainment and culture","2009.3/4","143090.26","141977.537","145043.623",
"5 persons or more","09.Entertainment and culture","2009.4/4","125181.322","120675.668","133509.533",
"5 persons or more","09.Entertainment and culture","2010.1/4","165218.78","172611.769","150608.951",
"5 persons or more","09.Entertainment and culture","2010.2/4","140484.143","138562.916","143916.788",
"5 persons or more","09.Entertainment and culture","2010.3/4","149437.293","148158.587","151676.536",
"5 persons or more","09.Entertainment and culture","2010.4/4","143191.02","130071.981","168313.893",
"5 persons or more","09.Entertainment and culture","2011.1/4","158616.524","167173.934","143998.766",
"5 persons or more","09.Entertainment and culture","2011.2/4","140830.339","131479.822","156318.7",
"5 persons or more","09.Entertainment and culture","2011.3/4","160098.267","167394.426","147766.44",
"5 persons or more","09.Entertainment and culture","2011.4/4","147906.367","162682.476","122024.26",
"5 persons or more","09.Entertainment and culture","2012.1/4","168522.223","178326.74","151887.395",
"5 persons or more","09.Entertainment and culture","2012.2/4","171521.294","180584.529","155958.845",
"5 persons or more","09.Entertainment and culture","2012.3/4","178786.298","172647.674","189620.337",
"5 persons or more","09.Entertainment and culture","2012.4/4","153654.949","169193.598","124653.419",
"5 persons or more","09.Entertainment and culture","2013.1/4","176061.05","183860.793","161588.277",
"5 persons or more","09.Entertainment and culture","2013.2/4","155469.996","159237.33","148592.62",
"5 persons or more","09.Entertainment and culture","2013.3/4","178093.34","187693.703","158931.315",
"5 persons or more","09.Entertainment and culture","2013.4/4","158193.533","158628.512","157313.384",
"5 persons or more","09.Entertainment and culture","2014.1/4","184831.397","178953.769","196419.421",
"5 persons or more","09.Entertainment and culture","2014.2/4","188261.878","195725.063","173216.57",
"5 persons or more","09.Entertainment and culture","2014.3/4","200281.904","208951.675","181927.244",
"5 persons or more","09.Entertainment and culture","2014.4/4","171536.73","175138.628","163322.546",
"5 persons or more","09.Entertainment and culture","2015.1/4","181744.091","187110.099","169627.969",
"5 persons or more","09.Entertainment and culture","2015.2/4","203805.877","196825.72","217482.356",
"5 persons or more","09.Entertainment and culture","2015.3/4","193181.879","178671.932","219773.374",
"5 persons or more","09.Entertainment and culture","2015.4/4","171240.144","167675.528","177886.306",
"5 persons or more","09.Entertainment and culture","2016.1/4","208226.069","181438.586","257920.534",
"5 persons or more","09.Entertainment and culture","2016.2/4","175219.647","183950.96","155001.944",
"5 persons or more","09.Entertainment and culture","2016.3/4","177874.501","183544.778","166818.377",
"5 persons or more","09.Entertainment and culture","2016.4/4","169265.644","179040.52","148501.735",
"5 persons or more","10.Education","2006.1/4","415378.619","401101.794","435115.368",
"5 persons or more","10.Education","2006.2/4","296497.304","304051.441","285388.594",
"5 persons or more","10.Education","2006.3/4","408330.852","392564.135","433987.52",
"5 persons or more","10.Education","2006.4/4","317465.333","340110.087","283824.841",
"5 persons or more","10.Education","2007.1/4","478829.372","482751.482","473027.077",
"5 persons or more","10.Education","2007.2/4","360898.117","370066.907","346196.888",
"5 persons or more","10.Education","2007.3/4","455916.488","472275.03","423365.861",
"5 persons or more","10.Education","2007.4/4","341750.207","349218.053","326842.044",
"5 persons or more","10.Education","2008.1/4","500898.668","496655.214","508880.139",
"5 persons or more","10.Education","2008.2/4","388746.815","406366.453","357540.71",
"5 persons or more","10.Education","2008.3/4","510033.308","500239.68","527411.11",
"5 persons or more","10.Education","2008.4/4","395749.736","399326.754","389165.508",
"5 persons or more","10.Education","2009.1/4","586688.177","594261.117","572731.559",
"5 persons or more","10.Education","2009.2/4","435015.067","434513.519","435850.13",
"5 persons or more","10.Education","2009.3/4","549321.537","550593.772","547088.154",
"5 persons or more","10.Education","2009.4/4","429546.652","422136.667","443243.207",
"5 persons or more","10.Education","2010.1/4","633092.724","637379.185","624621.933",
"5 persons or more","10.Education","2010.2/4","463053.847","462506.658","464031.506",
"5 persons or more","10.Education","2010.3/4","596003.079","573738.557","634992.258",
"5 persons or more","10.Education","2010.4/4","448310.298","449994.077","445085.873",
"5 persons or more","10.Education","2011.1/4","611619.623","580488.518","664797.744",
"5 persons or more","10.Education","2011.2/4","432130.096","435276.031","426919.115",
"5 persons or more","10.Education","2011.3/4","584956.007","570799.003","608883.9",
"5 persons or more","10.Education","2011.4/4","459003.684","468165.159","442956.273",
"5 persons or more","10.Education","2012.1/4","589071.055","568797.356","623468.415",
"5 persons or more","10.Education","2012.2/4","462711.082","499904.281","398846.772",
"5 persons or more","10.Education","2012.3/4","554422.041","590124.023","491411.733",
"5 persons or more","10.Education","2012.4/4","466958.204","500647.79","404079.539",
"5 persons or more","10.Education","2013.1/4","584416.866","614051.684","529428.133",
"5 persons or more","10.Education","2013.2/4","469546.483","502092.052","410133.621",
"5 persons or more","10.Education","2013.3/4","559312.872","577288.293","523434.494",
"5 persons or more","10.Education","2013.4/4","430637.387","447419.495","396680.014",
"5 persons or more","10.Education","2014.1/4","622296.535","593135.235","679789.435",
"5 persons or more","10.Education","2014.2/4","457748.854","464776.598","443581.367",
"5 persons or more","10.Education","2014.3/4","573847.886","567665.592","586936.338",
"5 persons or more","10.Education","2014.4/4","443936.516","437139.959","459436.169",
"5 persons or more","10.Education","2015.1/4","618593.869","642963.059","563569.711",
"5 persons or more","10.Education","2015.2/4","464115.252","498609.203","396529.979",
"5 persons or more","10.Education","2015.3/4","610977.737","600151.823","630817.73",
"5 persons or more","10.Education","2015.4/4","528197.669","486795.709","605390.852",
"5 persons or more","10.Education","2016.1/4","649595.759","720264.176","518496.124",
"5 persons or more","10.Education","2016.2/4","501174.536","506086.272","489801.216",
"5 persons or more","10.Education","2016.3/4","640880.026","688138.873","548732.911",
"5 persons or more","10.Education","2016.4/4","467684.996","471026.707","460586.494",
"5 persons or more","11.Restaurants and hotels","2006.1/4","308897.321","317148.693","297490.355",
"5 persons or more","11.Restaurants and hotels","2006.2/4","341014.607","343127.877","337906.947",
"5 persons or more","11.Restaurants and hotels","2006.3/4","334868.784","346787.406","315473.994",
"5 persons or more","11.Restaurants and hotels","2006.4/4","341460.51","364445.24","307314.957",
"5 persons or more","11.Restaurants and hotels","2007.1/4","324882.607","344982.338","295147.444",
"5 persons or more","11.Restaurants and hotels","2007.2/4","368850.322","381937.128","347866.948",
"5 persons or more","11.Restaurants and hotels","2007.3/4","353587.359","364043.263","332781.945",
